"gosterge","p","pencere","RMSE","MAE","secildi"
"GENC_ISSIZLIK",2,12,1.16151831026703,1.04245686489815,TRUE
"GENC_ISSIZLIK",2,14,1.36369276373961,1.24286394447859,FALSE
"GENC_ISSIZLIK",2,16,1.56521425009036,1.43176187007859,FALSE
"PERAKENDE_SATIS",4,12,3.91514181004657,3.18772036597076,FALSE
"PERAKENDE_SATIS",4,16,3.730861579877,2.92938620443945,FALSE
"PERAKENDE_SATIS",4,20,3.64744689938637,2.79545976578148,FALSE
"PERAKENDE_SATIS",4,24,3.57680035385331,3.01498047197844,FALSE
"PERAKENDE_SATIS",4,28,3.73879181866373,3.13567866982034,FALSE
"PERAKENDE_SATIS",8,12,8.07101321696099,6.18414350518502,FALSE
"PERAKENDE_SATIS",8,16,5.98699277551494,4.96380439030339,FALSE
"PERAKENDE_SATIS",8,20,4.95849097813189,4.2220858246617,FALSE
"PERAKENDE_SATIS",8,24,3.81037323392086,3.27635496742737,FALSE
"PERAKENDE_SATIS",8,28,4.0411261858377,3.52851801840623,FALSE
"PERAKENDE_SATIS",1,12,3.53353755751098,2.61438095610161,FALSE
"PERAKENDE_SATIS",1,16,3.09522819870641,2.37306150924814,TRUE
"PERAKENDE_SATIS",1,20,3.20716747352752,2.72142536310697,FALSE
"PERAKENDE_SATIS",1,24,3.26064438986987,2.86695233162728,FALSE
"PERAKENDE_SATIS",1,28,3.43062275949768,3.02258211362978,FALSE
"KONUT_FIYAT",12,36,3.14636030292864,2.38711913495813,FALSE
"KONUT_FIYAT",12,42,3.15934379039004,2.43159421435728,FALSE
"KONUT_FIYAT",12,48,3.20165885647466,2.51694322513038,FALSE
"KONUT_FIYAT",12,54,3.24772227410267,2.57042582195231,FALSE
"KONUT_FIYAT",12,60,3.27346201321362,2.60655974038415,FALSE
"KONUT_FIYAT",6,36,2.25860817088699,1.76241143210843,FALSE
"KONUT_FIYAT",6,42,2.2523284317098,1.76501263929573,TRUE
"KONUT_FIYAT",6,48,2.28682386671314,1.83296811069174,FALSE
"KONUT_FIYAT",6,54,2.31908349382263,1.87069433093201,FALSE
"KONUT_FIYAT",6,60,2.34148199486328,1.90803278653272,FALSE
"TURIZM_GELIRI",12,36,576451.38591616,453915.012213616,TRUE
"TURIZM_GELIRI",12,42,719017.94556378,583804.730754249,FALSE
"TURIZM_GELIRI",12,48,731843.58936543,588406.407952522,FALSE
"TURIZM_GELIRI",12,54,837280.810257884,698097.193560139,FALSE
"TURIZM_GELIRI",12,60,906355.878916918,749885.045693825,FALSE
"TURIZM_GELIRI",11,36,796879.493046578,690000.57847921,FALSE
"TURIZM_GELIRI",11,42,887095.40521663,762313.248600669,FALSE
"TURIZM_GELIRI",11,48,845197.16814397,728287.834419717,FALSE
"TURIZM_GELIRI",11,54,911359.2308995,787438.872292847,FALSE
"TURIZM_GELIRI",11,60,898958.991373455,755657.523922697,FALSE
"GINI",2,8,0.718284615984441,0.575963888028692,TRUE
"GINI",2,10,0.836823470219361,0.705760643376266,FALSE
"GINI",2,12,0.90840685128646,0.759653617248211,FALSE
"GINI",2,14,1.05423274942564,0.873685055861362,FALSE
"GINI",1,8,1.12993214231032,1.00240468755112,FALSE
"GINI",1,10,1.11911735653886,1.01207862224558,FALSE
"GINI",1,12,0.950196183169865,0.799679728100356,FALSE
"GINI",1,14,1.02271881405873,0.784799386218559,FALSE
